id,position,age,area,sex,partner,num_child,education,service_length,study_time,commute,overtime,salary
0,1,44,23,2,1,2,1,24,2,1.6,9.2,428.0748873
1,2,31,29,1,0,0,0,13,9,0.7,12.4,317.930517
2,2,36,35,1,0,0,2,14,4,0.4,16.9,357.3503158
3,0,22,13,2,0,0,0,4,3,0.4,6.1,201.3109109
4,0,25,46,2,0,0,1,5,3,0.2,4.9,178.0674749
5,1,23,28,2,1,3,1,3,2,1.3,7.4,277.5359737
6,1,32,14,2,1,2,0,14,5,1.7,11.8,332.3367628
7,0,21,29,1,0,0,0,3,3,0.1,18.9,192.6963252
8,3,43,4,2,0,0,0,25,11,0.7,10.1,435.0564226
9,2,46,8,2,1,2,2,24,7,1.7,4.8,469.9867348
10,1,27,3,2,0,0,0,9,0,0.5,12.3,251.3052798
11,2,50,29,2,1,4,1,30,9,1.6,1.4,452.2965611
12,0,21,31,1,1,1,0,3,6,1.3,23.9,254.1039416
13,0,23,33,2,0,0,0,5,4,0.2,8,177.8206491
14,0,24,38,2,0,0,0,6,2,0.2,13.9,184.0332285
15,1,35,15,2,1,3,0,17,10,1.4,11.2,339.4415445
16,0,21,4,2,1,5,1,0,1,1.3,7,266.3571939
17,1,22,35,2,0,0,1,0,3,0.9,6.8,408.7608668
18,1,26,32,1,0,0,1,6,3,0.3,10.7,272.1268289
19,2,33,30,1,1,1,2,11,6,2.1,0,575.2209118
20,2,39,39,2,1,2,1,19,0,1.7,4.1,333.4800413
21,0,22,3,1,1,1,1,0,3,1.3,10.7,238.582149
22,3,46,17,2,1,2,2,24,0,1.8,6.4,471.8378234
23,4,46,29,1,1,6,0,28,8,2.1,19.5,680.956934
24,1,26,38,2,1,1,0,8,2,1.5,16.3,280.4147502
25,0,22,43,2,0,0,0,4,0,0.1,5.1,159.3371223
26,3,48,11,2,0,0,1,28,6,0.6,1.3,425.9130937
27,2,29,31,1,1,2,1,9,0,1.5,6.8,346.1949983
28,2,41,38,1,1,1,1,21,8,1.7,18.5,381.7134323
29,0,22,41,2,1,1,1,2,2,1.2,4.9,225.2993787
30,2,55,37,2,0,0,0,37,4,0.8,10.6,378.7426989
31,3,39,4,1,0,0,2,17,4,1.1,19.1,448.6812718
32,0,26,45,1,0,0,1,6,5,0.1,10.3,204.7277587
33,2,50,7,2,1,3,0,32,1,1.7,7.7,439.0072421
34,0,22,27,2,1,0,1,2,0,1.5,18.7,241.9552005
35,0,27,45,1,0,0,0,9,3,0.2,19,200.9013327
36,0,25,29,2,0,0,1,5,2,0.1,4.4,187.3618283
37,2,36,38,2,1,5,0,18,6,1.7,11.4,452.5211495
38,0,26,44,1,0,0,0,8,4,0.3,12.6,210.1922931
39,0,23,30,2,0,0,2,0,1,0.3,8,164.4080226
40,0,22,21,1,0,0,0,4,3,0.1,9.2,167.7263143
41,0,26,42,1,0,0,0,8,4,0.2,7.2,194.2258057
42,2,50,34,2,0,0,1,30,0,1.1,5.6,585.1625687
43,2,31,44,2,0,0,1,11,7,0.5,0,264.6538283
44,2,40,14,1,0,0,4,13,2,0.6,10.8,336.0741468
45,3,32,4,2,1,4,1,7,0,1.6,11.6,484.2179253
46,0,22,1,2,0,0,1,2,6,0.2,8.8,175.1490425
47,2,25,38,1,1,5,1,5,1,1.8,7.3,533.8140599
48,0,20,34,1,1,3,0,1,5,0.9,13.6,254.3442358
49,3,36,35,1,1,1,0,18,11,1.9,9.1,419.8990891
50,0,21,13,1,1,2,1,0,6,2.2,19.3,290.4142927
51,3,33,16,2,1,0,1,8,0,1.2,0.5,369.0506441
52,0,23,39,1,1,2,0,0,0,1.2,18.6,265.5260892
53,0,24,30,1,1,2,0,0,5,1.2,10.7,240.8846938
54,0,25,6,1,0,0,0,7,2,0.3,17.7,197.115304
55,0,25,36,1,0,0,0,5,3,0.2,13.7,179.6853807
56,2,53,11,2,1,3,0,35,0,1.6,15.2,443.8834997
57,1,21,2,1,1,2,1,0,8,1.9,6.5,408.0163909
58,0,23,39,2,0,0,1,3,2,0.3,4.9,165.3994435
59,0,22,12,2,0,0,0,4,0,0.3,3.6,187.0121351
60,0,26,31,2,0,0,0,8,0,0.2,0,187.5374061
61,0,21,37,2,0,0,0,3,0,0.3,5.4,159.5521766
62,0,27,25,1,1,4,0,9,4,1.2,11.8,293.9187408
63,2,40,47,1,0,0,1,20,3,0.7,8.2,237.1985605
64,1,35,47,2,1,3,2,13,0,1.9,12.4,511.4444748
65,1,27,24,2,1,1,4,0,6,1.6,4.2,233.9706884
66,1,34,23,1,0,0,0,16,5,0.5,0.8,274.8140172
67,3,50,28,1,0,0,1,30,0,0.7,14.4,474.6049744
68,2,42,45,2,0,0,2,20,2,0.6,11.1,371.1146384
69,3,52,13,2,1,3,1,32,6,4.3,18.2,648.5297097
70,2,25,12,2,1,2,0,0,1,1.5,9.1,346.6974463
71,2,52,13,1,0,0,1,32,7,2.3,11.9,653.4730843
72,0,24,14,2,0,0,0,6,4,0.1,10.6,181.5492797
73,0,20,47,2,0,0,0,0,0,0.3,16.4,172.2249015
74,3,53,30,1,0,0,1,33,10,1,17.5,447.3152608
75,2,44,23,2,0,0,0,26,2,1,13.6,559.2416207
76,3,45,27,2,1,4,0,27,0,3.6,10.9,640.7976084
77,3,34,15,1,1,1,3,10,4,1.7,14.7,442.2451246
78,1,31,20,1,1,1,0,9,3,1.6,11.6,279.8100832
79,2,44,6,2,1,1,2,22,7,2.2,15.5,693.0660919
80,2,39,24,2,1,0,2,17,20,1.5,9,602.4646678
81,4,56,26,2,1,0,1,36,4,1.5,3.6,557.7022391
82,0,22,45,2,0,0,0,4,3,0.2,9.1,146.8088247
83,1,33,28,2,1,2,2,11,6,2,12,562.1929977
84,0,25,33,1,0,0,1,5,3,0.1,21.1,252.0965769
85,2,36,39,2,0,0,2,14,8,0.6,11.9,297.9747855
86,1,40,9,2,0,0,0,22,2,0.6,9.7,276.1966346
87,0,25,18,2,1,1,1,5,5,1.2,8.9,225.1289
88,2,42,23,2,1,0,2,20,8,1.2,8.1,373.5331555
89,2,49,43,1,0,0,1,29,4,0.8,17.4,360.382737
90,3,47,21,2,1,1,0,29,4,1.7,7.8,504.3220125
91,0,25,27,1,1,3,1,5,3,2.5,12.2,301.3590134
92,4,52,20,1,0,0,0,34,6,1.1,14.7,547.0146617
93,0,21,19,1,0,0,0,1,4,0.3,12.2,171.8949181
94,3,39,15,1,1,2,0,21,8,1.8,21.6,506.3971249
95,2,46,16,1,0,0,3,22,7,1.3,17.3,795.3675423
96,2,28,37,2,1,0,0,10,7,1.2,21.4,349.3256016
97,3,44,33,2,1,2,0,26,7,1.6,0,438.1855837
98,0,25,26,2,1,1,0,7,5,0.9,8.4,214.5311822
99,1,36,4,1,1,4,1,16,0,1.4,10.2,388.2478696
100,0,26,5,1,0,0,0,8,0,0.1,17.8,217.598711
101,2,36,42,1,1,4,1,16,3,1.7,13.8,423.0448003
102,4,54,23,1,0,0,4,27,10,1,6.6,541.9905934
103,3,40,17,2,0,0,1,20,1,1,20.1,450.9273661
104,2,42,23,1,0,0,0,24,2,0.7,19,400.3455286
105,0,25,43,2,1,1,1,5,1,1.2,16.2,214.9666828
106,1,30,3,2,0,0,0,12,3,0.5,9.1,297.989908
107,2,37,16,2,0,0,0,19,3,0.7,6.8,322.4604952
108,0,23,3,2,1,2,1,2,0,1.1,8.9,231.1068184
109,4,49,11,2,1,1,3,25,4,1.9,23.5,493.3126049
110,1,47,9,1,0,0,4,20,7,1.3,16.5,822.1065272
111,2,37,22,1,0,0,0,19,4,0.6,9.7,306.7411029
112,0,24,1,1,0,0,0,3,2,0.2,18.7,186.6773623
113,0,23,12,1,0,0,2,0,0,0.2,17.7,181.116372
114,0,23,12,1,1,2,1,3,2,1.1,16.5,254.9485853
115,0,28,6,1,0,0,2,6,4,0.3,10.2,187.8433154
116,4,52,36,1,0,0,1,32,4,0.8,6.2,533.5339467
117,1,45,11,2,1,1,0,27,0,1.6,11.6,404.9453414
118,0,25,8,2,1,2,2,1,5,1.4,8.9,217.8012
119,2,52,43,1,1,0,0,34,4,1.3,12.7,395.3633488
120,2,47,41,1,1,1,0,29,7,1.6,16.2,424.2056738
121,0,25,28,1,0,0,1,5,3,0.2,14.9,179.578278
122,0,23,44,2,1,3,1,2,10,1.2,9.3,261.9478597
123,1,43,35,2,1,2,2,21,4,1.6,8.5,375.3356344
124,0,24,3,1,1,2,0,4,5,1.4,18.1,271.5633305
125,0,21,15,2,1,1,1,0,6,1.2,4.9,179.1700683
126,0,23,34,2,0,0,0,5,2,0.1,4.1,150.9418944
127,0,18,46,2,1,2,0,0,3,1,5.7,200.7505807
128,1,25,33,2,1,0,0,7,0,1,3.6,224.2840745
129,0,24,10,2,0,0,2,0,10,0.6,8.6,368.6333381
130,4,52,29,2,0,0,0,34,9,1.1,6.5,525.6127471
131,2,43,41,1,1,4,0,25,12,1.5,13.8,471.5175256
132,1,35,44,2,1,2,0,17,0,1.5,9.8,350.0692356
133,2,31,18,1,0,0,1,9,1,0.7,21.2,342.7846923
134,2,53,36,1,1,1,1,33,3,1.8,21.4,466.6984856
135,1,45,24,2,1,2,0,27,3,1.9,10.5,507.2290798
136,0,23,24,1,0,0,0,3,2,0.2,19.3,216.4711031
137,0,25,3,1,1,4,0,7,7,1.2,23.5,304.3287584
138,0,20,24,1,1,1,0,0,5,1.2,11.2,213.3998868
139,1,50,3,2,1,2,1,30,5,1.5,6.4,328.5314847
140,0,25,27,1,0,0,0,2,5,0.5,17.1,252.9424433
141,2,47,31,2,0,0,1,27,2,0.7,0,352.114054
142,1,36,17,1,0,0,0,18,8,0.6,18.1,273.8422574
143,0,23,10,2,1,3,0,5,6,1.1,10.3,262.1443684
144,3,37,2,2,1,2,0,4,1,1.9,7.8,459.9553501
145,0,24,33,2,0,0,0,6,0,0.2,5.2,138.9698215
146,0,25,23,1,1,1,1,0,0,1.2,12.1,236.2525658
147,3,36,22,2,0,0,1,16,9,0.6,9.1,411.3174628
148,3,49,34,1,1,3,1,29,7,1.9,12.2,526.8002705
149,0,24,29,2,0,0,0,6,0,0.4,16.3,193.9299952
150,2,46,20,1,1,3,0,28,4,1.6,17.5,474.8596073
151,2,46,37,2,1,4,1,26,9,1.6,8.1,457.8221198
152,0,25,24,2,0,0,1,5,2,0.2,7.3,170.2133918
153,0,28,47,2,0,0,3,4,4,0.9,9.3,507.3815315
154,0,25,8,2,0,0,1,5,3,0.1,6.7,202.9487488
155,0,27,29,2,1,5,4,0,3,1.4,18.2,317.5096989
156,0,25,47,1,0,0,1,5,2,0.2,12.4,188.1147241
157,0,25,23,1,0,0,0,7,0,0.3,19.9,220.3578947
158,0,23,1,2,1,0,0,5,1,0.6,4.4,192.1979784
159,4,51,42,1,0,0,2,29,17,1.4,11.5,823.0934301
160,0,26,8,1,0,0,1,6,0,0.3,20.3,217.9995557
161,1,37,32,2,0,0,1,17,2,0.5,25.1,316.5366069
162,2,49,27,2,1,0,0,31,0,2.4,13.7,430.6070293
163,4,47,2,2,1,4,2,25,13,1.8,5.2,632.099815
164,0,26,45,1,0,0,1,6,6,0.2,22,209.8576903
165,0,24,17,1,1,1,0,6,3,1.2,16.9,216.5631622
166,2,31,34,1,1,2,3,0,6,1.6,5.9,363.8995424
167,1,45,23,2,1,3,0,27,3,1.6,9.2,406.180107
168,0,21,16,2,1,1,1,0,5,1,16.6,218.1726096
169,1,35,27,1,0,0,3,11,2,2,11.1,653.1253788
170,1,42,13,2,1,4,0,24,4,2.9,16.2,411.6346848
171,0,21,44,1,1,2,1,0,0,1.3,25.5,278.125233
172,0,23,38,1,1,2,0,0,4,1.2,15.1,251.0968907
173,0,28,21,1,0,0,1,8,3,0.2,9,160.3891092
174,2,35,17,1,0,0,2,13,1,0.7,15.7,298.5444329
175,3,52,34,2,1,1,2,30,7,1.7,13.7,524.0539109
176,3,39,34,1,1,2,0,21,7,1.8,13,459.27867
177,2,47,14,2,0,0,1,27,9,0.7,6,371.415834
178,3,46,10,1,0,0,4,19,3,0.8,18.6,443.6475649
179,0,23,12,2,1,0,2,0,1,0.8,8.3,211.4538359
180,1,36,35,2,0,0,0,18,0,0.5,14.4,295.6605025
181,0,25,37,1,0,0,0,7,4,0.4,4.4,178.5633211
182,2,34,3,2,0,0,1,14,4,0.6,8.7,310.5843288
183,0,22,39,1,1,0,1,2,0,0.6,11.8,196.0517356
184,0,28,25,1,0,0,2,4,0,0.8,5.6,418.8822372
185,0,26,8,1,1,2,1,0,4,1.1,12.8,244.7296085
186,0,30,44,2,1,3,4,0,3,1.4,4.5,238.7723039
187,3,53,34,2,1,0,0,35,2,1.3,4.4,478.2441183
188,0,24,8,1,0,0,1,4,3,0.1,20.7,212.2729716
189,1,29,14,1,1,2,2,0,7,1.5,17.4,340.4661578
190,0,24,28,2,1,2,0,6,8,1,2,211.8792169
191,4,54,14,2,0,0,0,36,1,0.9,6.6,558.6251854
192,0,27,29,1,0,0,2,5,0,0.2,11.2,177.5312994
193,2,51,5,1,1,2,1,31,4,2.1,6.8,554.6435703
194,1,18,45,2,0,0,0,0,4,0.5,11.9,223.1517804
195,2,37,15,1,1,2,0,19,8,1.5,24,424.4906125
196,2,36,17,2,1,6,0,18,5,1.8,7.7,423.1563598
